id,sentence,type,pronoun,tokens,log_probs,pronoun_log_prob,critical_token_idx
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888463|-11.115249|-8.747046|-7.9778824|-7.252853|-9.330764|-13.434839|-11.880597|-7.292184|-14.57733|-12.749821|-10.3546295|-11.537975,-9.330764,5
1_dog_affirmative,John owns a dog and he is thinking about getting another one.,affirmative,subj,John|##owns|##a|##dog|##and|##he|##is|##thinking|##about|##getting|##another|##one|.|<|endoftext|>,-9.888463|-11.115249|-8.747046|-7.9778824|-7.252853|-9.36072|-9.4288845|-11.092122|-8.481757|-11.268131|-9.499166|-6.638823|-10.392009|-11.555282,-9.36072,5
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888463|-10.518702|-11.227001|-10.666262|-10.10988|-8.713612|-7.6008196|-9.915702|-12.961262|-11.824136|-7.4035172|-14.314365|-13.483315|-10.62784|-11.401314,-9.915702,7
1_dog_negated,John doesn't own a dog and he isn't planning on getting one.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##he|##isn|'t|##planning|##on|##getting|##one|.|<|endoftext|>,-9.888463|-10.518702|-11.227001|-10.666262|-10.10988|-8.713612|-7.6008196|-9.554243|-17.278904|-15.356934|-14.394627|-9.813787|-13.775603|-6.268865|-11.14278|-11.471104,-9.554243,7
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.608882|-11.01769|-5.189838|-6.093275|-12.129921|-9.083792|-7.3545284|-10.69153|-13.92283|-11.466541|-11.416786|-8.968707|-14.009119|-13.460178|-10.675138|-11.573181,-13.92283,8
1_dog_know,I know that John owns a dog. He is thinking about getting another one.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##He|##is|##thinking|##about|##getting|##another|##one|.|<|endoftext|>,-8.608882|-11.017689|-5.1898394|-6.0932755|-12.129921|-9.08379|-7.3545284|-10.691532|-12.837835|-9.54573|-11.718945|-8.27491|-11.67022|-9.921091|-6.9875026|-10.458052|-11.511374,-12.837835,8
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.608882|-11.764902|-4.9677625|-6.2646303|-12.673348|-9.32168|-8.340323|-10.2859745|-13.515344|-11.043777|-10.220755|-8.6656685|-13.102789|-13.158731|-10.309336|-11.583662,-13.515344,8
1_dog_doubt,I doubt that John owns a dog. He doesn't own any other pets either.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##He|##doesn|'t|##own|##any|##other|##pets|##either|.|<|endoftext|>,-8.608882|-11.764904|-4.967763|-6.2646294|-12.673348|-9.32168|-8.340322|-10.2859745|-13.086906|-16.482697|-12.221341|-11.355389|-9.1747055|-9.258279|-13.224874|-8.225828|-10.380629|-11.64257,-13.086906,8
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888463|-11.417618|-8.600997|-9.915767|-9.28892|-6.6353717|-7.21232|-9.324106|-12.383934|-10.549928|-7.5149584|-14.071578|-12.320151|-10.188885|-11.518676,-9.324106,7
1_dog_modal,John wants to own a dog and he cannot wait to move to a building that allows pets.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##he|##cannot|##wait|##to|##move|##to|##a|##building|##that|##allows|##pets|.|<|endoftext|>,-9.888463|-11.41762|-8.600997|-9.915764|-9.28892|-6.6353707|-7.2123203|-9.844057|-12.255178|-9.949137|-8.995415|-11.742181|-9.304087|-8.967543|-10.301984|-8.909485|-10.616629|-11.405415|-10.21079|-11.679733,-9.844057,7
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,John|##managed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888463|-11.446091|-8.531193|-12.563768|-8.909666|-7.2436876|-10.909952|-13.94569|-10.507113|-10.450523|-8.8614025|-13.243889|-13.646036|-10.682975|-11.472925,-13.94569,7
1_dog_managed,John managed to adopt a dog. He only needed permission from his landlord.,managed,subj,John|##managed|##to|##adopt|##a|##dog|.|##He|##only|##needed|##permission|##from|##his|##landlord|.|<|endoftext|>,-9.888463|-11.446091|-8.531193|-12.563768|-8.909666|-7.2436876|-10.909952|-13.401883|-8.31188|-12.092738|-9.1553335|-11.117773|-10.738184|-12.083269|-10.503968|-11.7632675,-13.401883,7
1_dog_failed,John failed to adopt a dog. It follows him everywhere he goes.,failed,it,John|##failed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888463|-9.997654|-9.641266|-10.900528|-9.126991|-7.1950226|-10.247995|-13.740871|-10.642782|-10.253134|-8.80237|-12.498362|-13.445373|-10.521321|-11.443428,-13.740871,7
1_dog_failed,John failed to adopt a dog. He doesn't have a big enough apartment.,failed,subj,John|##failed|##to|##adopt|##a|##dog|.|##He|##doesn|'t|##have|##a|##big|##enough|##apartment|.|<|endoftext|>,-9.888463|-9.997655|-9.641268|-10.90053|-9.126991|-7.1950226|-10.247996|-13.026353|-16.537317|-12.14391|-11.415864|-10.947102|-9.395309|-8.295454|-9.321711|-11.317688|-11.686197,-13.026353,7
2_car_affirmative,Lucy has a car and it has a self-driving mode.,affirmative,it,Lu|cy|##has|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-7.4312162|-11.282413|-8.799279|-8.515516|-10.48442|-7.3748684|-10.202214|-9.061262|-9.429348|-10.30148|-10.057798|-14.268969|-7.866447|-10.720228|-11.69446,-10.202214,6
2_car_affirmative,Lucy has a car and she loves to go on roadtrips.,affirmative,subj,Lu|cy|##has|##a|##car|##and|##she|##loves|##to|##go|##on|##road|tri|ps|.|<|endoftext|>,-7.4312162|-11.282413|-8.799279|-8.515516|-10.48442|-7.3748684|-9.410055|-12.1477165|-9.080591|-8.659872|-8.410652|-13.180876|-23.588299|-17.546658|-10.575551|-11.820967,-9.410055,6
2_car_negated,Lucy doesn't have a car and it has a self-driving mode.,negated,it,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-7.4312162|-11.2824135|-16.100689|-11.154667|-11.481761|-9.557973|-9.22649|-7.4357586|-10.070406|-9.890293|-9.107362|-9.98283|-9.875837|-14.730215|-7.6556864|-10.843244|-11.533905,-10.070406,8
2_car_negated,Lucy doesn't have a car and she only buys second-hand clothes.,negated,subj,Lu|cy|##doesn|'t|##have|##a|##car|##and|##she|##only|##buys|##second|-|hand|##clothes|.|<|endoftext|>,-7.4312162|-11.2824135|-16.100689|-11.154667|-11.481761|-9.557973|-9.22649|-7.4357586|-10.14356|-9.043708|-11.748684|-13.040653|-13.734234|-15.472758|-10.357619|-11.4428|-11.6328335,-10.14356,8
2_car_know,I know that Lucy has a car. It has a self-driving mode.,know,it,I|##know|##that|##Lucy|##has|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.608882|-11.017689|-5.1898394|-8.101315|-8.844088|-8.934219|-10.007163|-10.7867775|-13.767351|-9.113455|-9.242986|-11.299534|-9.557463|-14.800922|-8.023871|-11.193766|-11.879125,-13.767351,8
2_car_know,I know that Lucy has a car. She loves to go on roadtrips.,know,subj,I|##know|##that|##Lucy|##has|##a|##car|.|##She|##loves|##to|##go|##on|##road|tri|ps|.|<|endoftext|>,-8.608882|-11.017689|-5.1898394|-8.101315|-8.844088|-8.934219|-10.007163|-10.7867775|-13.66571|-12.394536|-8.879735|-8.321034|-8.409071|-12.984909|-24.211397|-18.418102|-11.2946825|-11.977618,-13.66571,8
2_car_doubt,I doubt that Lucy has a car. It has a self-driving mode.,doubt,it,I|##doubt|##that|##Lucy|##has|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.608882|-11.764904|-4.967763|-8.219334|-9.269651|-9.294161|-9.431192|-10.494774|-13.584057|-9.408686|-8.843814|-10.196682|-9.159403|-13.947312|-8.264787|-10.650217|-11.591934,-13.584057,8
2_car_doubt,I doubt that Lucy has a car. She also only buys second-hand clothes.,doubt,subj,I|##doubt|##that|##Lucy|##has|##a|##car|.|##She|##also|##only|##buys|##second|-|hand|##clothes|.|<|endoftext|>,-8.608882|-11.764904|-4.967763|-8.219334|-9.269651|-9.294161|-9.431192|-10.494774|-13.948172|-8.001551|-8.093903|-11.022795|-12.336142|-12.554117|-15.634737|-11.051366|-10.769682|-11.65571,-13.948172,8
2_car_modal,Lucy wants to have a car and it has a self-driving mode.,modal,it,Lu|cy|##wants|##to|##have|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-7.4312162|-11.2824135|-12.308106|-8.6579275|-10.949801|-8.730234|-9.050986|-6.9797363|-9.338186|-9.766226|-9.008471|-9.961767|-9.985573|-14.225686|-7.695458|-10.565304|-11.650409,-9.338186,8
2_car_modal,Lucy wants to have a car and she also wants to get a motorcycle.,modal,subj,Lu|cy|##wants|##to|##have|##a|##car|##and|##she|##also|##wants|##to|##get|##a|##motorcycle|.|<|endoftext|>,-7.4312162|-11.2824135|-12.308106|-8.6579275|-10.949801|-8.730234|-9.050986|-6.9797363|-10.193217|-8.237029|-12.101455|-8.836039|-10.203166|-9.259481|-9.27173|-10.328752|-11.724767,-10.193217,8
2_car_managed,Lucy managed to rent a car. It has a self-driving mode.,managed,it,Lu|cy|##managed|##to|##rent|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-7.4312162|-11.2824135|-13.204407|-8.612023|-8.933315|-8.957979|-9.863526|-11.092305|-14.701879|-9.811917|-9.1267185|-11.460129|-10.372025|-14.50932|-8.748227|-10.951718|-11.741903,-14.701879,8
2_car_managed,Lucy managed to rent a car. She found a place that was open late.,managed,subj,Lu|cy|##managed|##to|##rent|##a|##car|.|##She|##found|##a|##place|##that|##was|##open|##late|.|<|endoftext|>,-7.4312162|-11.2824135|-13.204407|-8.612023|-8.933315|-8.957979|-9.863526|-11.092305|-14.221607|-12.053656|-9.051236|-12.758207|-8.712463|-10.300776|-11.073879|-7.170151|-11.373431|-11.83375,-14.221607,8
2_car_failed,Lucy failed to rent a car. It has a self-driving mode.,failed,it,Lu|cy|##failed|##to|##rent|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-7.4312162|-11.2824135|-11.077257|-9.51618|-9.049562|-9.73793|-9.633984|-10.922867|-14.310809|-9.970322|-8.915296|-10.609289|-10.358059|-13.77054|-8.492719|-10.584745|-11.437065,-14.310809,8
2_car_failed,Lucy failed to rent a car. She couldn't find a place that was open late.,failed,subj,Lu|cy|##failed|##to|##rent|##a|##car|.|##She|##couldn|'t|##find|##a|##place|##that|##was|##open|##late|.|<|endoftext|>,-7.4312162|-11.2824135|-11.077257|-9.51618|-9.049562|-9.73793|-9.633984|-10.922867|-14.136588|-15.951468|-9.760542|-11.8050785|-9.856737|-13.268873|-9.607746|-10.946008|-11.052072|-6.7872405|-11.941327|-11.73496,-14.136588,8
3_bear_affirmative,Carol saw a bear at the zoo and it was taller than she expected.,affirmative,it,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.259137|-10.715981|-12.329576|-9.705107|-6.760537|-9.200686|-8.926908|-9.169079|-7.3541675|-9.519058|-9.230581|-12.335188|-11.081106|-9.06418|-14.680027|-10.269548|-11.644688,-9.519058,9
3_bear_affirmative,Carol saw a bear at the zoo and she took amazing pictures of it.,affirmative,subj,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##she|##took|##amazing|##pictures|##of|##it|.|<|endoftext|>,-7.259137|-10.715981|-12.329576|-9.705107|-6.760537|-9.200686|-8.926908|-9.169079|-7.3541675|-9.70186|-13.056061|-10.116709|-11.445256|-10.657181|-8.988379|-10.128972|-11.453647,-9.70186,9
3_bear_negated,Carol didn't see a bear at the zoo and it was taller than she expected.,negated,it,Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.259137|-10.715981|-15.279514|-11.415102|-11.52203|-10.782518|-8.0798435|-9.828911|-9.089456|-10.374681|-7.646925|-9.96158|-9.51025|-12.341238|-10.647537|-9.076157|-13.929969|-10.569741|-11.510149,-9.96158,11
3_bear_negated,Carol didn't see a bear at the zoo and she went home disappointed.,negated,subj,Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##she|##went|##home|##disappointed|.|<|endoftext|>,-7.259137|-10.715981|-15.279514|-11.415102|-11.52203|-10.782518|-8.0798435|-9.828911|-9.089456|-10.374681|-7.646925|-10.138117|-13.022489|-9.204917|-11.416075|-10.813393|-11.3654,-10.138117,11
3_bear_know,I know that Carol saw a bear at the zoo. It was taller than she expected.,know,it,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-8.608882|-11.017689|-5.1898394|-9.771437|-12.733033|-9.597343|-6.310325|-8.890735|-8.832968|-11.513007|-10.64123|-14.099303|-9.392843|-13.002256|-10.922238|-10.147959|-15.3270035|-11.044515|-11.724854,-14.099303,11
3_bear_know,I know that Carol saw a bear at the zoo. She took amazing pictures of it.,know,subj,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##She|##took|##amazing|##pictures|##of|##it|.|<|endoftext|>,-8.608882|-11.017689|-5.1898394|-9.771437|-12.733033|-9.597343|-6.310325|-8.890735|-8.832968|-11.513007|-10.64123|-13.012765|-12.855328|-9.973906|-11.589658|-10.621273|-9.634592|-10.766245|-11.525139,-13.012765,11
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It was taller than she expected.,doubt,it,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-8.608882|-11.764904|-4.967763|-9.568748|-13.317481|-9.976577|-7.4649696|-9.365267|-8.971443|-11.664458|-10.311873|-13.949512|-9.47481|-12.045532|-10.535103|-9.86188|-14.588839|-11.140848|-11.638958,-13.949512,11
3_bear_doubt,I doubt that Carol saw a bear at the zoo. She didn't get to see any other big animals either.,doubt,subj,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##She|##didn|'t|##get|##to|##see|##any|##other|##big|##animals|##either|.|<|endoftext|>,-8.608881|-11.764903|-4.967763|-9.568748|-13.317482|-9.976576|-7.4649706|-9.365266|-8.971442|-11.664458|-10.3118725|-13.595753|-15.940987|-11.467555|-10.870075|-8.996733|-10.394719|-8.551803|-9.049729|-8.044845|-9.996701|-8.139684|-10.742344|-11.352501,-13.595753,11
3_bear_modal,Carol wants to see a bear at the zoo and it is taller than she expected.,modal,it,Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##it|##is|##taller|##than|##she|##expected|.|<|endoftext|>,-7.259137|-10.715981|-12.641789|-8.730693|-10.952187|-8.946667|-7.6369133|-8.9648905|-9.161945|-11.419868|-7.1876135|-9.1485|-8.885549|-11.9106245|-10.388935|-9.322955|-14.33427|-10.314816|-11.633251,-9.1485,11
3_bear_modal,Carol wants to see a bear at the zoo and she does not stop talking about it.,modal,subj,Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##she|##does|##not|##stop|##talking|##about|##it|.|<|endoftext|>,-7.259137|-10.715981|-12.641789|-8.730693|-10.952187|-8.946667|-7.6369133|-8.9648905|-9.161945|-11.419868|-7.1876135|-10.213417|-12.883054|-9.012849|-10.7898855|-9.510168|-8.931864|-9.360491|-9.7819195|-11.521584,-10.213417,11
3_bear_managed,Carol managed to see a bear at the zoo. It was taller than she expected.,managed,it,Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.259137|-10.715981|-13.61042|-8.572313|-11.064186|-10.204094|-6.471653|-8.300742|-8.603315|-9.593943|-10.320959|-13.922226|-9.087611|-12.926843|-11.107278|-9.951638|-14.975602|-10.888433|-11.695105,-13.922226,11
3_bear_managed,Carol managed to see a bear at the zoo. She took amazing pictures of it.,managed,subj,Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##She|##took|##amazing|##pictures|##of|##it|.|<|endoftext|>,-7.259137|-10.715981|-13.61042|-8.572313|-11.064186|-10.204094|-6.471653|-8.300742|-8.603315|-9.593943|-10.320959|-13.112994|-12.929086|-10.059349|-11.8247385|-10.726225|-9.763974|-10.20564|-11.474878,-13.112994,11
3_bear_failed,Carol failed to see a bear at the zoo. It was taller than she expected.,failed,it,Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.259137|-10.715981|-10.848519|-9.719873|-11.135312|-10.6225|-7.057646|-9.002968|-8.833881|-9.246961|-10.1953|-13.896265|-8.899974|-12.679436|-10.824441|-9.653808|-14.704809|-10.802731|-11.578396,-13.896265,11
3_bear_failed,Carol failed to see a bear at the zoo. She didn't get to see any other big animals either.,failed,subj,Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##She|##didn|'t|##get|##to|##see|##any|##other|##big|##animals|##either|.|<|endoftext|>,-7.2591357|-10.71598|-10.848519|-9.719874|-11.135308|-10.6225|-7.057643|-9.00297|-8.833883|-9.24696|-10.1953|-13.357267|-16.132187|-11.776898|-10.891918|-9.266804|-10.517107|-8.796381|-9.182498|-9.029236|-10.287571|-7.9846363|-10.940283|-11.327713,-13.357267,11
4_book_affirmative,Susan published a book and it is a real page-turner.,affirmative,it,Susan|##published|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.887775|-10.103583|-9.078135|-9.599017|-7.3801227|-10.046224|-8.975978|-9.137829|-7.70549|-11.844954|-14.660424|-19.554077|-13.634978|-10.365126|-11.423695,-10.046224,5
4_book_affirmative,Susan published a book and she is going on tour later this year.,affirmative,subj,Susan|##published|##a|##book|##and|##she|##is|##going|##on|##tour|##later|##this|##year|.|<|endoftext|>,-13.887775|-10.103583|-9.078135|-9.599017|-7.3801227|-9.48783|-9.488096|-11.894318|-7.1084204|-8.59781|-10.627331|-11.682632|-12.94172|-10.776979|-11.285257,-9.48783,5
4_book_negated,Susan didn't publish a book and it is a real page-turner.,negated,it,Susan|##didn|'t|##publish|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.887775|-14.098411|-11.764759|-13.955583|-10.200769|-9.629206|-7.8480697|-10.394711|-9.255362|-9.041321|-8.215029|-10.060582|-14.188955|-19.572205|-13.259653|-10.349267|-11.382203,-10.394711,7
4_book_negated,Susan didn't publish a book and she doesn't intend to do so in the near future.,negated,subj,Susan|##didn|'t|##publish|##a|##book|##and|##she|##doesn|'t|##intend|##to|##do|##so|##in|##the|##near|##future|.|<|endoftext|>,-13.887775|-14.098411|-11.764759|-13.955583|-10.200769|-9.629206|-7.8480697|-10.057939|-16.804688|-11.570465|-16.736794|-7.16802|-10.508055|-7.412781|-10.425813|-10.510655|-9.636549|-16.89504|-11.219048|-11.533601,-10.057939,7
4_book_know,I know that Susan published a book. It is a real page-turner.,know,it,I|##know|##that|##Susan|##published|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-8.608882|-11.017689|-5.1898394|-6.5928035|-10.408433|-9.518698|-9.911673|-10.80335|-13.384173|-9.346144|-9.277578|-8.202083|-11.138457|-15.6059475|-19.221197|-14.145956|-10.420626|-11.605362,-13.384173,8
4_book_know,I know that Susan published a book. She is going on tour later this year.,know,subj,I|##know|##that|##Susan|##published|##a|##book|.|##She|##is|##going|##on|##tour|##later|##this|##year|.|<|endoftext|>,-8.608882|-11.017689|-5.1898394|-6.5928035|-10.408433|-9.518698|-9.911673|-10.80335|-13.35929|-9.711439|-12.196732|-6.40579|-9.306461|-10.579537|-12.057817|-13.475427|-11.325422|-11.566675,-13.35929,8
4_book_doubt,I doubt that Susan published a book. It is a real page-turner.,doubt,it,I|##doubt|##that|##Susan|##published|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-8.608882|-11.764904|-4.967763|-6.0894213|-10.434806|-9.564262|-9.563359|-10.455577|-13.849339|-9.26884|-8.835726|-8.309739|-8.051922|-12.873468|-19.415405|-13.45757|-9.537613|-11.393296,-13.849339,8
4_book_doubt,I doubt that Susan published a book. She also hasn't written any good articles lately.,doubt,subj,I|##doubt|##that|##Susan|##published|##a|##book|.|##She|##also|##hasn|'t|##written|##any|##good|##articles|##lately|.|<|endoftext|>,-8.608882|-11.764904|-4.967763|-6.0894213|-10.434806|-9.564262|-9.563359|-10.455577|-13.675271|-7.6080084|-17.555851|-13.571177|-10.256123|-9.721265|-9.328729|-11.276728|-10.924272|-10.237594|-11.505209,-13.675271,8
4_book_modal,Susan wants to publish a book and it is a real page-turner.,modal,it,Susan|##wants|##to|##publish|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.887775|-11.701577|-8.778533|-12.513055|-9.484819|-9.824848|-7.4329443|-9.582422|-9.152012|-8.845137|-8.067249|-11.481163|-14.45123|-19.417118|-13.172596|-10.718631|-11.483601,-9.582422,7
4_book_modal,Susan wants to publish a book and she committed to writing at least 2 pages a day.,modal,subj,Susan|##wants|##to|##publish|##a|##book|##and|##she|##committed|##to|##writing|##at|##least|##2|##pages|##a|##day|.|<|endoftext|>,-13.887775|-11.701577|-8.778533|-12.513055|-9.484819|-9.824848|-7.4329443|-10.011087|-12.418615|-7.5281496|-10.362635|-9.209366|-13.266846|-9.460472|-11.018052|-12.14973|-10.201466|-10.143018|-11.587769,-10.011087,7
4_book_managed,Susan managed to write a book. It is a real page-turner.,managed,it,Susan|##managed|##to|##write|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.887775|-12.040857|-8.737371|-12.454933|-8.676508|-8.298075|-11.047251|-12.806395|-9.143765|-9.222579|-8.234692|-11.603818|-15.169261|-19.547438|-13.878539|-10.15027|-11.592659,-12.806395,7
4_book_managed,Susan managed to write a book. She is going on tour later this year.,managed,subj,Susan|##managed|##to|##write|##a|##book|.|##She|##is|##going|##on|##tour|##later|##this|##year|.|<|endoftext|>,-13.887775|-12.040857|-8.737371|-12.454933|-8.676508|-8.298075|-11.047251|-13.265857|-9.41108|-12.57449|-6.8149652|-9.58986|-10.959498|-12.12758|-13.015966|-10.838465|-11.39466,-13.265857,7
4_book_failed,Susan failed to write a book. It is a real page-turner.,failed,it,Susan|##failed|##to|##write|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.887775|-12.042862|-9.695147|-12.47872|-9.086655|-7.845607|-10.557018|-13.602702|-9.171716|-9.1883545|-8.697769|-9.005515|-11.991003|-19.342749|-13.638219|-9.76779|-11.401775,-13.602702,7
4_book_failed,Susan failed to write a book. She also hasn't written any good articles lately.,failed,subj,Susan|##failed|##to|##write|##a|##book|.|##She|##also|##hasn|'t|##written|##any|##good|##articles|##lately|.|<|endoftext|>,-13.887775|-12.042862|-9.695147|-12.47872|-9.086655|-7.845607|-10.557018|-13.483175|-7.888338|-18.016436|-14.340749|-10.036058|-9.740994|-9.023906|-11.265331|-10.7455635|-10.396278|-11.579906,-13.483175,7
5_shirt_affirmative,Mary found a shirt at the store and it looks amazing on her.,affirmative,it,Mary|##found|##a|##shirt|##at|##the|##store|##and|##it|##looks|##amazing|##on|##her|.|<|endoftext|>,-8.149288|-10.264531|-8.911984|-8.788919|-9.489101|-8.7801075|-8.592148|-7.5530686|-10.28602|-12.30409|-12.2279415|-10.084886|-10.59134|-10.250321|-11.502059,-10.28602,8
