id,sentence,type,pronoun,tokens,log_probs,continuation_log_prob,critical_token_idx
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936898|-11.739592|-8.96608|-6.6907873|-7.2112184|-9.767154|-13.184687|-12.032926|-7.8918633|-13.86628|-13.076682|-10.003746|-12.661596,-79.82333830000002,5
1_dog_affirmative,John owns a dog and it's not a big deal.,affirmative,subj,John|##owns|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.936898|-11.739592|-8.96608|-6.6907873|-7.2112184|-9.767154|-9.882813|-7.622138|-8.572891|-6.498127|-12.525425|-10.348941|-12.556744,-65.217489,5
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936898|-14.552651|-10.976233|-10.365701|-10.135315|-8.872593|-7.563295|-10.067517|-12.908989|-12.069985|-8.40093|-13.906826|-12.8902445|-10.100271|-12.676279,-80.3447625,7
1_dog_negated,John doesn't own a dog and it's not a big deal.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.936898|-14.552651|-10.976233|-10.365701|-10.135315|-8.872593|-7.563295|-10.067517|-10.385191|-7.814587|-9.005331|-7.6530867|-13.134244|-10.321239|-12.596409,-68.3811957,7
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-5.881065|-12.439189|-9.027311|-6.9918146|-9.893427|-14.309317|-12.120465|-12.2019005|-8.306324|-13.466795|-13.815648|-10.229638|-12.642473,-84.4500875,8
1_dog_know,I know that John owns a dog. It's not a big deal.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-5.881065|-12.439189|-9.027311|-6.9918146|-9.893427|-14.309317|-10.628372|-7.634325|-8.579672|-6.673526|-13.482861|-10.14048|-12.62304,-71.448553,8
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.0308094|-12.904413|-9.444734|-7.252231|-9.959278|-14.29157|-11.675659|-11.722837|-8.453833|-12.9023075|-13.288358|-9.991848|-12.67193,-82.3264125,8
1_dog_doubt,I doubt that John owns a dog. It's not a big deal.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.0308094|-12.904413|-9.444734|-7.252231|-9.959278|-14.29157|-10.88454|-7.7756286|-9.2060175|-7.2814264|-13.479098|-10.193125|-12.6462345,-73.1114055,8
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936898|-12.492069|-8.514174|-10.297271|-8.991724|-6.6527915|-7.4040756|-9.572885|-12.851267|-11.051339|-7.981058|-13.803422|-12.567392|-10.193159|-12.728877,-78.02052199999999,7
1_dog_modal,John wants to own a dog and it's not a big deal.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.936898|-12.492069|-8.514174|-10.297271|-8.991724|-6.6527915|-7.4040756|-9.572885|-10.187245|-7.3904457|-8.528993|-6.9984765|-12.718233|-10.547762|-12.720711,-65.9440402,7
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,John|##managed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936898|-12.574859|-8.678687|-12.483589|-9.120842|-6.624638|-10.238566|-14.245653|-10.993343|-11.470666|-8.474892|-12.994413|-13.135423|-10.47303|-12.520905,-81.78742,7
1_dog_managed,John managed to adopt a dog. It's not a big deal.,managed,subj,John|##managed|##to|##adopt|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.936898|-12.574859|-8.678687|-12.483589|-9.120842|-6.624638|-10.238566|-14.245653|-10.586372|-7.669875|-8.859153|-6.864932|-13.167705|-10.82547|-12.55938,-72.21915999999999,7
1_dog_failed,John failed to adopt a dog. It follows him everywhere he goes.,failed,it,John|##failed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936898|-10.04158|-8.874502|-10.933692|-9.348469|-6.961479|-10.0730915|-13.9872265|-11.086063|-11.046099|-9.075155|-12.364745|-12.886589|-10.407486|-12.496941,-80.8533635,7
1_dog_failed,John failed to adopt a dog. It's not a big deal.,failed,subj,John|##failed|##to|##adopt|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.936898|-10.04158|-8.874502|-10.933692|-9.348469|-6.961479|-10.0730915|-13.9872265|-10.641814|-7.666555|-9.450682|-7.421634|-13.514082|-10.539989|-12.515444,-73.22198250000001,7
2_car_affirmative,Lucy has a car and it has a self-driving mode.,affirmative,it,Lu|cy|##has|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.9156957|-9.34209|-9.28652|-8.726172|-9.059269|-7.418774|-9.908655|-9.558987|-8.709168|-10.1770115|-8.894575|-13.789259|-7.3801823|-10.786707|-12.574356,-79.20454480000001,6
2_car_affirmative,Lucy has a car and it's not a big deal.,affirmative,subj,Lu|cy|##has|##a|##car|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9156957|-9.34209|-9.28652|-8.726172|-9.059269|-7.418774|-9.908655|-10.305395|-7.721321|-8.396664|-6.81354|-12.986008|-10.697864|-12.464387,-66.82944699999999,6
2_car_negated,Lucy doesn't have a car and it has a self-driving mode.,negated,it,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.9156957|-9.34209|-14.984316|-11.229252|-11.654607|-9.715868|-8.889434|-7.361434|-10.381564|-10.599647|-8.530207|-9.911585|-9.32718|-13.817836|-7.525931|-10.738189|-12.530185,-80.83213900000001,8
2_car_negated,Lucy doesn't have a car and it's not a big deal.,negated,subj,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9156957|-9.34209|-14.984316|-11.229252|-11.654607|-9.715868|-8.889434|-7.361434|-10.381564|-10.859572|-7.9304214|-9.305164|-7.702214|-13.519213|-10.838857|-12.418959,-70.5370054,8
2_car_know,I know that Lucy has a car. It has a self-driving mode.,know,it,I|##know|##that|##Lucy|##has|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-8.58757|-9.341393|-8.759329|-8.54962|-10.185318|-14.532501|-9.600636|-8.569633|-11.150755|-7.9622|-13.876388|-7.529678|-10.93605|-12.54155,-84.157841,8
2_car_know,I know that Lucy has a car. It's not a big deal.,know,subj,I|##know|##that|##Lucy|##has|##a|##car|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-8.58757|-9.341393|-8.759329|-8.54962|-10.185318|-14.532501|-10.905562|-7.558018|-8.672466|-6.4688797|-13.471501|-10.558332|-12.449681,-72.16725969999999,8
2_car_doubt,I doubt that Lucy has a car. It has a self-driving mode.,doubt,it,I|##doubt|##that|##Lucy|##has|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-8.645184|-9.73258|-9.379074|-7.7695026|-10.320227|-14.513498|-10.211006|-8.594282|-10.620197|-8.960014|-13.598688|-7.073455|-10.778662|-12.479567,-84.349802,8
2_car_doubt,I doubt that Lucy has a car. It's not a big deal.,doubt,subj,I|##doubt|##that|##Lucy|##has|##a|##car|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-8.645184|-9.73258|-9.379074|-7.7695026|-10.320227|-14.513498|-10.874142|-7.6367183|-9.453352|-7.2933683|-13.580454|-10.62607|-12.420861,-73.9776026,8
2_car_modal,Lucy wants to have a car and it has a self-driving mode.,modal,it,Lu|cy|##wants|##to|##have|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.9156957|-9.34209|-12.879183|-8.44087|-11.354424|-9.161964|-8.992111|-7.441412|-9.628274|-10.41544|-8.549422|-10.141846|-8.948145|-13.796451|-8.25216|-10.93704|-12.566948,-80.66877799999999,8
2_car_modal,Lucy wants to have a car and it's not a big deal.,modal,subj,Lu|cy|##wants|##to|##have|##a|##car|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9156957|-9.34209|-12.879183|-8.44087|-11.354424|-9.161964|-8.992111|-7.441412|-9.628274|-10.753856|-7.6000595|-8.740894|-6.9455576|-12.670418|-10.855027|-12.473051,-67.19408609999999,8
2_car_managed,Lucy managed to rent a car. It has a self-driving mode.,managed,it,Lu|cy|##managed|##to|##rent|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.9156957|-9.34209|-12.265764|-8.648788|-10.361259|-8.612699|-9.059096|-10.660191|-14.633415|-9.810269|-8.503769|-11.72232|-8.463739|-13.303559|-8.181207|-10.76693|-12.603995,-85.385208,8
2_car_managed,Lucy managed to rent a car. It's not a big deal.,managed,subj,Lu|cy|##managed|##to|##rent|##a|##car|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9156957|-9.34209|-12.265764|-8.648788|-10.361259|-8.612699|-9.059096|-10.660191|-14.633415|-10.84456|-7.6264644|-9.141535|-7.7195454|-13.373392|-11.013103|-12.569466,-74.3520148,8
2_car_failed,Lucy failed to rent a car. It has a self-driving mode.,failed,it,Lu|cy|##failed|##to|##rent|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.9156957|-9.34209|-10.238707|-9.264381|-10.018408|-9.287601|-9.475362|-10.319682|-14.5650215|-10.616589|-8.401604|-11.429136|-9.178257|-13.237769|-8.234534|-10.637702|-12.650419,-86.3006125,8
2_car_failed,Lucy failed to rent a car. It's not a big deal.,failed,subj,Lu|cy|##failed|##to|##rent|##a|##car|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9156957|-9.34209|-10.238707|-9.264381|-10.018408|-9.287601|-9.475362|-10.319682|-14.5650215|-10.893834|-7.83064|-9.758237|-7.806227|-13.743913|-10.742529|-12.587089,-75.3404015,8
3_bear_affirmative,Carol saw a bear at the zoo and it was taller than she expected.,affirmative,it,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.5172167|-10.431095|-11.911659|-9.682954|-7.4448147|-8.581022|-9.047111|-9.249394|-7.27524|-9.699648|-9.637073|-12.617561|-11.423998|-10.34403|-12.621585|-10.313939|-12.616789,-76.657834,9
3_bear_affirmative,Carol saw a bear at the zoo and it's not a big deal.,affirmative,subj,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.5172167|-10.431095|-11.911659|-9.682954|-7.4448147|-8.581022|-9.047111|-9.249394|-7.27524|-9.699648|-8.723436|-7.6763773|-8.875336|-5.066025|-12.183608|-9.817581|-12.558801,-62.0420113,9
3_bear_negated,Carol didn't see a bear at the zoo and it was taller than she expected.,negated,it,Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.5172167|-10.431095|-14.309563|-11.371732|-11.103055|-10.333093|-7.755953|-9.1559725|-9.29299|-10.735465|-7.6003494|-9.880871|-9.071199|-12.527402|-11.367178|-10.760178|-12.457348|-10.470035|-12.62211,-76.53421099999998,11
3_bear_negated,Carol didn't see a bear at the zoo and it's not a big deal.,negated,subj,Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.5172167|-10.431095|-14.309563|-11.371732|-11.103055|-10.333093|-7.755953|-9.1559725|-9.29299|-10.735465|-7.6003494|-9.880871|-10.396584|-8.136681|-9.028362|-6.487843|-13.191608|-10.210425|-12.590018,-67.332374,11
3_bear_know,I know that Carol saw a bear at the zoo. It was taller than she expected.,know,it,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-9.863471|-11.907537|-9.500105|-7.2689185|-8.173066|-9.015537|-10.542648|-10.083951|-13.961325|-9.5460615|-12.586662|-11.247706|-11.194407|-13.52133|-10.598654|-12.568557,-82.6561455,11
3_bear_know,I know that Carol saw a bear at the zoo. It's not a big deal.,know,subj,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-9.863471|-11.907537|-9.500105|-7.2689185|-8.173066|-9.015537|-10.542648|-10.083951|-13.961325|-10.899423|-7.572229|-9.000447|-5.3129945|-13.285465|-10.301935|-12.492775,-70.3338185,11
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It was taller than she expected.,doubt,it,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-9.279825|-12.345336|-9.99346|-7.8207693|-8.980297|-9.227928|-10.432203|-10.2364025|-14.272432|-9.915684|-11.927261|-11.063749|-11.2866955|-13.096345|-10.710688|-12.64637,-82.27285450000001,11
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It's not a big deal.,doubt,subj,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-9.279825|-12.345336|-9.99346|-7.8207693|-8.980297|-9.227928|-10.432203|-10.2364025|-14.272432|-11.012046|-7.9629097|-9.142597|-5.560791|-13.54339|-10.455561|-12.608309,-71.9497267,11
3_bear_modal,Carol wants to see a bear at the zoo and it was taller than she expected.,modal,it,Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.5172167|-10.431095|-13.218647|-8.627607|-10.94052|-9.046089|-7.33455|-8.372891|-9.368095|-10.393981|-7.288762|-9.156624|-9.565474|-11.858608|-10.489675|-9.951635|-12.35253|-9.936356|-12.636091,-73.31090200000001,11
3_bear_modal,Carol wants to see a bear at the zoo and it's not a big deal.,modal,subj,Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.5172167|-10.431095|-13.218647|-8.627607|-10.94052|-9.046089|-7.33455|-8.372891|-9.368095|-10.393981|-7.288762|-9.156624|-10.422077|-7.9470115|-8.809044|-6.130984|-12.615776|-10.251455|-12.603676,-65.33297150000001,11
3_bear_managed,Carol managed to see a bear at the zoo. It was taller than she expected.,managed,it,Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.5172167|-10.431095|-12.459076|-8.622763|-10.044099|-9.501554|-7.2705193|-8.006297|-8.777246|-9.205708|-10.08902|-13.829756|-9.1129465|-12.655423|-11.228409|-11.438896|-12.33465|-10.824215|-12.549949,-81.4242955,11
3_bear_managed,Carol managed to see a bear at the zoo. It's not a big deal.,managed,subj,Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.5172167|-10.431095|-12.459076|-8.622763|-10.044099|-9.501554|-7.2705193|-8.006297|-8.777246|-9.205708|-10.08902|-13.829756|-9.993456|-7.8019786|-9.09874|-5.552141|-13.063701|-10.500969|-12.518923,-69.8407416,11
3_bear_failed,Carol failed to see a bear at the zoo. It was taller than she expected.,failed,it,Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.5172167|-10.431095|-10.026306|-9.276487|-10.457518|-10.223778|-7.5417037|-8.890465|-8.8968115|-9.31761|-9.817764|-13.812304|-9.037612|-12.377548|-11.000209|-11.251638|-12.737517|-10.733432|-12.612574,-80.95025999999999,11
3_bear_failed,Carol failed to see a bear at the zoo. It's not a big deal.,failed,subj,Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.5172167|-10.431095|-10.026306|-9.276487|-10.457518|-10.223778|-7.5417037|-8.890465|-8.8968115|-9.31761|-9.817764|-13.812304|-10.5878725|-8.08212|-9.28774|-6.414218|-13.6098995|-10.172288|-12.5966215,-71.966442,11
4_book_affirmative,Susan published a book and it is a real page-turner.,affirmative,it,Susan|##published|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138725|-9.113345|-9.105877|-8.8361225|-7.8658056|-10.43043|-9.510212|-8.8046055|-7.666274|-12.400948|-14.073084|-21.893974|-13.459436|-9.725474|-12.455496,-107.9644375,5
4_book_affirmative,Susan published a book and it's not a big deal.,affirmative,subj,Susan|##published|##a|##book|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-13.138725|-9.113345|-9.105877|-8.8361225|-7.8658056|-10.43043|-10.554183|-7.1167145|-8.916947|-6.8153496|-12.896055|-10.367577|-12.416161,-67.0972561,5
4_book_negated,Susan didn't publish a book and it is a real page-turner.,negated,it,Susan|##didn|'t|##publish|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138725|-13.8158245|-11.614627|-13.406667|-10.468625|-8.305967|-7.707753|-10.417878|-8.958199|-9.558657|-10.266813|-10.9989605|-12.281357|-21.430317|-13.069511|-9.707031|-12.476531,-106.68872350000001,7
4_book_negated,Susan didn't publish a book and it's not a big deal.,negated,subj,Susan|##didn|'t|##publish|##a|##book|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-13.138725|-13.8158245|-11.614627|-13.406667|-10.468625|-8.305967|-7.707753|-10.417878|-10.479907|-7.451331|-9.33964|-7.7474|-13.442602|-10.713179|-12.527589,-69.591937,7
4_book_know,I know that Susan published a book. It is a real page-turner.,know,it,I|##know|##that|##Susan|##published|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-6.8638287|-9.826468|-9.425861|-8.668554|-10.082177|-14.239598|-9.763651|-8.854878|-8.016607|-11.163068|-12.409082|-20.942204|-13.670385|-9.945476|-12.476531,-109.004949,8
4_book_know,I know that Susan published a book. It's not a big deal.,know,subj,I|##know|##that|##Susan|##published|##a|##book|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-6.8638287|-9.826468|-9.425861|-8.668554|-10.082177|-14.239598|-11.341633|-7.144998|-8.961839|-6.881772|-13.195555|-10.610979|-12.484825,-72.376374,8
4_book_doubt,I doubt that Susan published a book. It is a real page-turner.,doubt,it,I|##doubt|##that|##Susan|##published|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.6271205|-10.209487|-9.873609|-8.458779|-10.293007|-13.980402|-9.283537|-9.083971|-9.274866|-10.418061|-11.714882|-21.033113|-12.827761|-9.596307|-12.524479,-107.21289999999999,8
4_book_doubt,I doubt that Susan published a book. It's not a big deal.,doubt,subj,I|##doubt|##that|##Susan|##published|##a|##book|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.6271205|-10.209487|-9.873609|-8.458779|-10.293007|-13.980402|-10.775797|-7.7354045|-9.367791|-7.357717|-13.427363|-10.4231205|-12.578549,-73.06759500000001,8
4_book_modal,Susan wants to publish a book and it is a real page-turner.,modal,it,Susan|##wants|##to|##publish|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138725|-12.399617|-8.479563|-13.0463505|-10.017934|-9.304351|-7.3784456|-9.923578|-9.192329|-8.911783|-8.010161|-10.847897|-12.810148|-21.170881|-12.871902|-10.170036|-12.548843,-103.90871500000002,7
4_book_modal,Susan wants to publish a book and it's not a big deal.,modal,subj,Susan|##wants|##to|##publish|##a|##book|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-13.138725|-12.399617|-8.479563|-13.0463505|-10.017934|-9.304351|-7.3784456|-9.923578|-10.754748|-7.720591|-8.773498|-6.5832357|-13.19|-10.963997|-12.582462,-67.90964770000001,7
4_book_managed,Susan managed to write a book. It is a real page-turner.,managed,it,Susan|##managed|##to|##write|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138725|-12.089238|-8.76468|-12.271682|-8.698161|-8.4618845|-10.574296|-14.236302|-9.7923765|-8.706122|-7.942405|-11.740472|-14.468391|-21.259115|-13.603422|-10.161768|-12.452966,-111.91037349999999,7
4_book_managed,Susan managed to write a book. It's not a big deal.,managed,subj,Susan|##managed|##to|##write|##a|##book|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-13.138725|-12.089238|-8.76468|-12.271682|-8.698161|-8.4618845|-10.574296|-14.236302|-11.181028|-7.176798|-8.805559|-6.956937|-13.531957|-11.179071|-12.473068,-73.067652,7
4_book_failed,Susan failed to write a book. It is a real page-turner.,failed,it,Susan|##failed|##to|##write|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138725|-9.14715|-9.071264|-12.005272|-9.791539|-7.5414166|-10.337441|-14.212597|-8.943201|-9.366936|-9.856094|-10.004074|-11.653671|-21.001225|-13.123214|-9.386788|-12.334692,-107.54780000000001,7
4_book_failed,Susan failed to write a book. It's not a big deal.,failed,subj,Susan|##failed|##to|##write|##a|##book|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-13.138725|-9.14715|-9.071264|-12.005272|-9.791539|-7.5414166|-10.337441|-14.212597|-10.705556|-7.4461193|-9.509085|-7.655419|-14.054777|-10.4737835|-12.427669,-74.0573368,7
5_shirt_affirmative,Mary found a shirt at the store and it looks amazing on her.,affirmative,it,Mary|##found|##a|##shirt|##at|##the|##store|##and|##it|##looks|##amazing|##on|##her|.|<|endoftext|>,-9.069283|-10.063805|-9.319232|-8.08897|-9.277552|-9.104722|-8.021877|-7.671522|-10.376134|-12.656824|-11.346214|-9.698674|-8.751449|-9.867706|-12.512135,-62.69700099999999,8
