id,context_affirmative,context_negated,it_continuation_negation,subj_continuation_affirmative,subj_continuation_negated,context_know,context_doubt,it_continuation_factive,subj_continutation_know,subj_continutation_doubt,context_modal,it_continutation_modal,subj_continuation_modal,context_managed,context_failed,it_continuation_implicative,subj_continuation_managed,subj_continuation_failed
1_dog,John owns dogs,John doesn't own dogs,and they follow him everywhere he goes.,and he is thinking about getting another one.,and he isn't planning on getting one.,I know that John owns dogs.,I doubt that John owns dogs.,They follow him everywhere he goes.,He is thinking about getting another one.,He doesn't own any other pets either.,John wants to own dogs,and they follow him everywhere he goes.,and he cannot wait to move to a building that allows pets.,John managed to adopt dogs.,John failed to adopt dogs.,They follow him everywhere he goes.,He only needed permission from his landlord.,He doesn't have a big enough apartment.
2_car,Lucy has cars,Lucy doesn't have cars,and they have a self-driving mode.,and she loves to go on roadtrips.,and she only buys second-hand clothes.,I know that Lucy has cars.,I doubt that Lucy has cars.,They have a self-driving mode.,She loves to go on roadtrips.,She also only buys second-hand clothes.,Lucy wants to have cars,and they have a self-driving mode.,and she also wants to get a motorcycle.,Lucy managed to rent cars.,Lucy failed to rent cars.,They have a self-driving mode.,She found a place that was open late.,She couldn't find a place that was open late.
3_bear,Carol saw bears at the zoo,Carol didn't see bears at the zoo,and they were taller than she expected.,and she took amazing pictures of them.,and she went home disappointed.,I know that Carol saw bears at the zoo.,I doubt that Carol saw bears at the zoo.,They were taller than she expected.,She took amazing pictures of them.,She didn't get to see any other big animals either.,Carol wants to see bears at the zoo,and they are taller than she expected.,and she does not stop talking about it.,Carol managed to see bears at the zoo.,Carol failed to see bears at the zoo.,They were taller than she expected.,She took amazing pictures of them.,She didn't get to see any other big animals either.
4_book,Susan published books,Susan didn't publish books,and they are real page-turners.,and she is going on tour later this year.,and she doesn't intend to so in the near future.,I know that Susan published books.,I doubt that Susan published books.,They are real page-turners.,She is going on tour later this year.,She also hasn't written any good articles lately.,Susan wants to publish books,and they are a real page-turner.,and she committed to writing at least 2 pages a day.,Susan managed to write books.,Susan failed to write books.,They are a real page-turner.,She is going on tour later this year.,She also hasn't written any good articles lately.
5_shirt,Mary found shirts at the store,Mary didn't find shirts at the store,and they look amazing on her.,and she wore one of them at the wedding.,and she had to wear a t-shirt instead.,I know that Mary found shirts at the store.,I doubt that Mary found shirts at the store.,They look amazing on her.,She wore one of them at the wedding.,She didn't manage to get any other nice clothes either.,Mary wants to find shirts at the store,and they look amazing on her.,and she checked that the store is open on Sundays. ,Mary managed to find shirts at the store.,Mary failed to find shirts at the store.,They look amazing on her.,She wore one of them at the wedding.,She didn't manage to get any other nice clothes either.
6_rat,Carla got pet rats,Carla didn't get pet rats,and they are very noisy at night.,and she constantly posts photos of them.,and she is already regretting her decision.,I know that Carla got pet rats.,I doubt that Carla got pet rats.,They are very noisy at night.,She constantly posts photos of them.,She wasn't particularly impressed by the chinchillas either.,Carla wants to get pet rats,and they are very noisy at night.,and she already bought a cage.,Carla managed to get pet rats.,Carla failed to get pet rats.,They are very noisy at night.,She found them at the store at the mall.,She tried three different stores.
7_beer,Sam ordered beers at the bar,Sam didn't order beers at the bar,and they were warm.,and he gave a very generous tip.,and he also didn't do any drugs.,I know that Sam ordered beers at the bar.,I doubt that Sam ordered beers at the bar.,They were warm.,He gave a very generous tip.,He also couldn't drinks with his fake ID anywhere else.,Sam wants to order beers at the bar,and they are warm.,and he also wants to get some fries.,Sam managed to order beers at the bar.,Sam failed to order beers at the bar.,They were warm.,He had to stand in line for ten minutes though.,He also couldn't get drinks with his fake ID anywhere else.
8_cake,Michael baked cakes,Michael didn't bake cakes,and they were the best thing at the picnic.,and he also made a pie.,and he also didn't bring anythinng else to the picnic.,I know that Michael baked cakes.,I doubt that Michael baked cakes.,They were the best thing at the picnic.,He also made a pie.,He also didn't prepare anything else for the picnic.,Michael wants to bake cakes,and they are the best thing at the picnic.,and he already chose a recipe.,Michael managed to bake cakes.,Michael failed to bake cakes.,They were the best thing at the picnic.,He also made a pie.,He also didn't prepare anything else for the picnic.
9_letter,Carolyn wrote letters to her husband,Carolyn didn't write letters to her husband,and they arrived three days after she sent them.,and she also gave him a call.,and she also didn't explain anything when she visitited them last year.,I know that Carolyn wrote letters to her husband.,I doubt that Carolyn wrote letters to her husband.,They arrived three days after she sent them.,She also gave him a call.,She also didn't give him a call.,Carolyn wants to write letters to her parents,and they arrive three days after she sends them.,and she also plans to send them a gift.,Carolyn managed to write letters to her husband.,Carolyn failed to write letters to her husband.,They arrived three days after she sent it.,She also gave him a call.,She also didn't give him a call.
10_hat,Chris knitted hats,Chris didn't knit hats,and they were very colorful.,and he was very proud of them.,and he didn't do any of the other assignments either.,I know that Chris knitted hats.,I doubt that Chris knitted hats.,They were very colorful.,He was very proud of them.,He didn't do any of the other assignments either.,Chris wants to knit hats,and they are very colorful.,and he already chose the color for the yarn.,Chris managed to knit hats.,Chris failed to knit hats.,They were very colorful.,He was very proud of them.,He didn't do any of the other assignments either.
11_cod,Sarah caught cods,Sarah didn't catch cods,and they made a fantastic dinner.,and she ate them for dinner.,and she got dinner from the store instead.,I know that Sarah caught cods.,I doubt that Sarah caught cods.,They made a fantastic dinner.,She ate them for dinner.,She also didn't catch any shrimp.,Sarah wants to catch cods,and they make a fantastic dinner.,and she is obsessed with fishing blogs.,Sarah managed to catch cods.,Sarah failed to catch cods.,They made a fantastic dinner.,She ate them for dinner.,She also didn't catch any shrimp.
12_ticket,Thomas booked tickets in advance,Thomas didn't book tickets in advance,and they were much cheaper than he expected.,and he also made a hotel reservation.,and he couldn't get any at the airport.,I know that Thomas booked tickets in advance.,I doubt that Thomas booked tickets in advance.,They were much cheaper than he expected.,He also made a hotel reservation.,He didn't even show up at the airport until an hour before the flight.,Thomas wants to book tickets in advance,and they are much cheaper than he expected.,and he started to look for cheap flights.,Thomas managed to book tickets.,Thomas failed to book tickets.,They were much cheaper than he expected.,He also made a hotel reservation.,He also didn't show up at the airport until an hour before the flight.
13_bed,Luke bought beds,Luke didn't buy beds,and they were delivered the next day.,and he also got a new dresser.,and he also refused to get a new dresser.,I know that Luke bought beds.,I doubt that Luke bought beds.,They were delivered the next day.,He also got a new dresser.,He didn't get a mattress either.,Luke wants to buy beds,and they are delivered the next day.,and he also wants to get a dresser.,Luke managed to buy beds.,Luke failed to buy beds.,They were delivered the next day.,He also got a new dresser.,He didn't get a mattress either.
14_gin,Dan drank gin tonics,Dan didn't drink gin tonics,and they were very strong.,and he regretted it the next morning.,and he left before everyone else was drunk.,I know that Dan drank gin tonics.,I doubt that Dan drank gin tonics.,They were very strong.,He regretted it in the morning.,He didn't get any other drinks either.,Dan wants to drink gin tonics,and they are very strong.,and he cannot wait for dry January to be over.,Dan managed to mix gin tonics.,Dan failed to mix gin tonics.,They were very strong.,He served them with cucumbers.,He hadn't bough any tonic water.
15_bone,David discovered bones on his archeological expedition,David didn't discover bones on his archeological expedition,and they likely belonged to an extinct bird species.,and he brought them back to the lab for an extensive analysis.,and he also didn't find anything else worth analyzing.,I know that David discovered bones on his archeological expedition.,I doubt that David discovered bones on his archeological expedition.,They likely belonged to an extinct bird species.,He brought them back to the lab for an extensive analysis.,He also didn't find anything else worth analyzing.,David wants to discover bones on his archeological expedition,and they likely belong to an extinct bird.,and he is prepared to spend a long time at the excavation site.,David managed to discover bones on his archeological expedition.,David failed to discover bones on his archeological expedition.,They likely belonged to an extinct bird species.,He brought them back to the lab for an extensive analysis.,He also didn't find anything else worth analyzing.
16_house,Lisa built houses,Lisa didn't build houses,and they are the most beautiful buildings I have ever seen.,and she made sure that every room gets a lot of sunlight.,and she lied about several other things as well.,I know that Lisa built houses.,I doubt that Lisa built houses.,They are the most beautiful buildings I have ever seen.,She made sure that every room gets a lot of sunlight.,She lied about several other things as well.,Lisa wants to build houses,and they are the most beautiful buildings I have ever seen.,and she already bought several plots of land.,Lisa managed to build houses.,Lisa failed to build houses.,They are most beautiful buildings I have ever seen.,She made sure that every room gets a lot of sunlight.,She lied about several other things as well.