id,affirmative_negation,affirmative_affirmative,negation_affirmative,negation_negation,know_doubt,know_know,doubt_know,doubt_doubt,managed_failed,managed_managed,failed_managed,failed_failed,singular_ref_continuation,plural_ref_continuation,nonref_continuation
1_dog,John owns a dog but Mark doesn't own a dog.,John owns a dog and Mark owns a dog too.,John doesn't own a dog but Mark owns a dog.,John doesn't own a dog and Mark doesn't own a dog either.,I know that John owns a dog but I doubt that Mark owns a dog.,I know that John owns a dog and I know that Mark owns a dog as well.,I doubt that John owns a dog but I know that Mark owns a dog.,I doubt that John owns a dog and I doubt that Mark owns a dog as well.,John managed to adopt a dog but Mark failed to adopt a dog.,John managed to adopt a dog and Mark managed to adopt a dog as well.,John failed to adopt a dog but Mark managed to adopt a dog.,John failed to adopt a dog and Mark failed to adopt a dog as well.,The dog is very cute.,The dogs are very cute.,It's not a big deal.
2_car,Lucy has a car but Ethan doesn't have a car.,Lucy has a car and Ethan has a car too.,Lucy doesn't have a car but Ethan has a car.,Lucy doesn't have a car and Ethan doesn't have a car either.,I know that Lucy has a car but I doubt that Ethan has a car.,I know that Lucy has a car and I know that Ethan has a car as well.,I doubt that Lucy has a car but I know that Ethan has a car.,I doubt that Lucy has a car and I doubt that Ethan has a car as well.,Lucy managed to rent a car but Ethan failed to rent a car.,Lucy managed to rent a car and Ethan managed to rent a car as well.,Lucy failed to rent a car but Ethan managed to rent a car.,Lucy failed to rent a car and Ethan failed to rent a car as well.,The car has a self-driving mode.,The cars have a self-driving mode.,It's not a big deal.
3_bear,Carol saw a bear at the zoo but Jack didn't see a bear at the zoo.,Carol saw a bear at the zoo and Jack saw a bear at the zoo too.,Carol didn't see a bear at the zoo but Jack saw a bear at the zoo.,Carol didn't see a bear at the zoo and Jack didn't see a bear at the zoo either.,I know that Carol saw a bear at the zoo but I doubt that Jack saw a bear at the zoo.,I know that Carol saw a bear at the zoo and I know that Jack saw a bear at the zoo as well.,I doubt that Carol saw a bear at the zoo but I know that Jack saw a bear at the zoo.,I doubt that Carol saw a bear at the zoo and I doubt that Jack saw a bear at the zoo as well.,Carol managed to see a bear at the zoo but Jack failed to see a bear at the zoo.,Carol managed to see a bear at the zoo and Jack managed to see a bear at the zoo as well.,Carol failed to see a bear at the zoo but Jack managed to see a bear at the zoo.,Carol failed to see a bear at the zoo and Jack failed to see a bear at the zoo as well.,The bear was taller than expected.,The bears were taller than expected.,It's not a big deal.
4_book,Susan published a book but Ben didn't publish a book.,Susan published a book and Ben published a book too.,Susan didn't publish a book but Ben published a book.,Susan didn't publish a book and Ben didn't publish a book either.,I know that Susan published a book but I doubt that Ben published a book.,I know that Susan published a book and I know that Ben published a book as well.,I doubt that Susan published a book but I know that Ben published a book.,I doubt that Susan published a book and I doubt that Ben published a book as well.,Susan managed to write a book but Ben failed to write a book.,Susan managed to write a book and Ben managed to write a book as well.,Susan failed to write a book but Ben managed to write a book.,Susan failed to write a book and Ben failed to write a book as well.,The book is a real page-turner.,The books are real page-turners.,It's not a big deal.
5_shirt,Mary found a shirt at the store but Teresa didn't find a shirt at the store.,Mary found a shirt at the store and Teresa found a shirt at the store too.,Mary didn't find a shirt at the store but Teresa found a shirt at the store.,Mary didn't find a shirt at the store and Teresa didn't find a shirt at the store either.,I know that Mary found a shirt at the store but I doubt that Teresa found a shirt at the store.,I know that Mary found a shirt at the store and I know that Teresa found a shirt at the store as well.,I doubt that Mary found a shirt at the store but I know that Teresa found a shirt at the store.,I doubt that Mary found a shirt at the store and I doubt that Teresa found a shirt at the store as well.,Mary managed to find a shirt at the store but Teresa failed to find a shirt at the store.,Mary managed to find a shirt at the store and Teresa managed to find a shirt at the store as well.,Mary failed to find a shirt at the store but Teresa managed to find a shirt at the store.,Mary failed to find a shirt at the store and Teresa failed to find a shirt at the store as well.,The shirt looks amazing.,The shirts look amazing.,It's not a big deal.
6_rat,Carla got a pet rat but Linda didn't get a pet rat.,Carla got a pet rat and Linda got a pet rat too.,Carla didn't get a pet rat but Linda got a pet rat.,Carla didn't get a pet rat and Linda didn't get a pet rat either.,I know that Carla got a pet rat but I doubt that Linda got a pet rat.,I know that Carla got a pet rat and I know that Linda got a pet rat as well.,I doubt that Carla got a pet rat but I know that Linda got a pet rat.,I doubt that Carla got a pet rat and I doubt that Linda got a pet rat as well.,Carla managed to get a pet rat but Linda failed to get a pet rat.,Carla managed to get a pet rat and Linda managed to get a pet rat as well.,Carla failed to get a pet rat but Linda managed to get a pet rat.,Carla failed to get a pet rat and Linda failed to get a pet rat as well.,The rat is very noisy at night.,The rats are very noisy at night.,It's not a big deal.
7_beer,Sam ordered a beer at the bar but Kate didn't order a beer at the bar.,Sam ordered a beer at the bar and Kate ordered a beer at the bar too.,Sam didn't order a beer at the bar but Kate ordered a beer at the bar.,Sam didn't order a beer at the bar and Kate didn't order a beer at the bar either.,I know that Sam ordered a beer at the bar but I doubt that Kate ordered a beer at the bar.,I know that Sam ordered a beer at the bar and I know that Kate ordered a beer at the bar as well.,I doubt that Sam ordered a beer at the bar but I know that Kate ordered a beer at the bar.,I doubt that Sam ordered a beer at the bar and I doubt that Kate ordered a beer at the bar as well.,Sam managed to order a beer at the bar but Kate failed to order a beer at the bar.,Sam managed to order a beer at the bar and Kate managed to order a beer at the bar as well.,Sam failed to order a beer at the bar but Kate managed to order a beer at the bar.,Sam failed to order a beer at the bar and Kate failed to order a beer at the bar as well.,The beer was warm.,The beers were warm.,It's not a big deal.
8_cake,Michael baked a cake but Adam didn't bake a cake.,Michael baked a cake and Adam baked a cake too.,Michael didn't bake a cake but Adam baked a cake.,Michael didn't bake a cake and Adam didn't bake a cake either.,I know that Michael baked a cake but I doubt that Adam baked a cake.,I know that Michael baked a cake and I know that Adam baked a cake as well.,I doubt that Michael baked a cake but I know that Adam baked a cake.,I doubt that Michael baked a cake and I doubt that Adam baked a cake as well.,Michael managed to bake a cake but Adam failed to bake a cake.,Michael managed to bake a cake and Adam managed to bake a cake as well.,Michael failed to bake a cake but Adam managed to bake a cake.,Michael failed to bake a cake and Adam failed to bake a cake as well.,The cake was the best thing at the picnic.,The cakes were the best thing at the picnic.,It's not a big deal.
9_letter,Carolyn wrote a letter to her parents but Jennifer didn't write a letter to her parents.,Carolyn wrote a letter to her parents and Jennifer wrote a letter to her parents too.,Carolyn didn't write a letter to her parents but Jennifer wrote a letter to her parents.,Carolyn didn't write a letter to her parents and Jennifer didn't write a letter to her parents either.,I know that Carolyn wrote a letter to her parents but I doubt that Jennifer wrote a letter to her parents.,I know that Carolyn wrote a letter to her parents and I know that Jennifer wrote a letter to her parents as well.,I doubt that Carolyn wrote a letter to her parents but I know that Jennifer wrote a letter to her parents.,I doubt that Carolyn wrote a letter to her parents and I doubt that Jennifer wrote a letter to her parents as well.,Carolyn managed to write a letter to her parents but Jennifer failed to write a letter to her parents.,Carolyn managed to write a letter to her parents and Jennifer managed to write a letter to her parents as well.,Carolyn failed to write a letter to her parents but Jennifer managed to write a letter to her parents.,Carolyn failed to write a letter to her parents and Jennifer failed to write a letter to her parents as well.,The letter arrived three days after it was sent.,The letters arrived three days after they were sent.,It's not a big deal.
10_hat,Chris knitted a hat but George didn't knit a hat.,Chris knitted a hat and George knitted a hat too.,Chris didn't knit a hat but George knitted a hat.,Chris didn't knit a hat and George didn't knit a hat either.,I know that Chris knitted a hat but I doubt that George knitted a hat.,I know that Chris knitted a hat and I know that George knitted a hat as well.,I doubt that Chris knitted a hat but I know that George knitted a hat.,I doubt that Chris knitted a hat and I doubt that George knitted a hat as well.,Chris managed to knit a hat but George failed to knit a hat.,Chris managed to knit a hat and George managed to knit a hat as well.,Chris failed to knit a hat but George managed to knit a hat.,Chris failed to knit a hat and George failed to knit a hat as well.,The hat was very colorful.,The hats were very colorful.,It's not a big deal.
11_rabbit,Sarah caught a rabbit but Alice didn't catch a rabbit.,Sarah caught a rabbit and Alice caught a rabbit too.,Sarah didn't catch a rabbit but Alice caught a rabbit.,Sarah didn't catch a rabbit and Alice didn't catch a rabbit either.,I know that Sarah caught a rabbit but I doubt that Alice caught a rabbit.,I know that Sarah caught a rabbit and I know that Alice caught a rabbit as well.,I doubt that Sarah caught a rabbit but I know that Alice caught a rabbit.,I doubt that Sarah caught a rabbit and I doubt that Alice caught a rabbit as well.,Sarah managed to catch a rabbit but Alice failed to catch a rabbit.,Sarah managed to catch a rabbit and Alice managed to catch a rabbit as well.,Sarah failed to catch a rabbit but Alice managed to catch a rabbit.,Sarah failed to catch a rabbit and Alice failed to catch a rabbit as well.,The rabbit made a fantastic dinner.,The rabbits made a fantastic dinner.,It's not a big deal.
12_ticket,Thomas booked a ticket in advance but Patrick didn't book a ticket in advance.,Thomas booked a ticket in advance and Patrick booked a ticket in advance too.,Thomas didn't book a ticket in advance but Patrick booked a ticket in advance.,Thomas didn't book a ticket in advance and Patrick didn't book a ticket in advance either.,I know that Thomas booked a ticket in advance but I doubt that Patrick booked a ticket in advance.,I know that Thomas booked a ticket in advance and I know that Patrick booked a ticket in advance as well.,I doubt that Thomas booked a ticket in advance but I know that Patrick booked a ticket in advance.,I doubt that Thomas booked a ticket in advance and I doubt that Patrick booked a ticket in advance as well.,Thomas managed to book a ticket but Patrick failed to book a ticket.,Thomas managed to book a ticket and Patrick managed to book a ticket as well.,Thomas failed to book a ticket but Patrick managed to book a ticket.,Thomas failed to book a ticket and Patrick failed to book a ticket as well.,The ticket was much cheaper than expected.,The tickets were much cheaper than expected.,It's not a big deal.
13_bed,Luke bought a bed but Rachel didn't buy a bed.,Luke bought a bed and Rachel bought a bed too.,Luke didn't buy a bed but Rachel bought a bed.,Luke didn't buy a bed and Rachel didn't buy a bed either.,I know that Luke bought a bed but I doubt that Rachel bought a bed.,I know that Luke bought a bed and I know that Rachel bought a bed as well.,I doubt that Luke bought a bed but I know that Rachel bought a bed.,I doubt that Luke bought a bed and I doubt that Rachel bought a bed as well.,Luke managed to buy a bed but Rachel failed to buy a bed.,Luke managed to buy a bed and Rachel managed to buy a bed as well.,Luke failed to buy a bed but Rachel managed to buy a bed.,Luke failed to buy a bed and Rachel failed to buy a bed as well.,The bed was delivered the next day.,The beds were delivered the next day.,It's not a big deal.
14_gin,Dan drank a gin tonic but Jessica didn't drink a gin tonic.,Dan drank a gin tonic and Jessica drank a gin tonic too.,Dan didn't drink a gin tonic but Jessica drank a gin tonic.,Dan didn't drink a gin tonic and Jessica didn't drink a gin tonic either.,I know that Dan drank a gin tonic but I doubt that Jessica drank a gin tonic.,I know that Dan drank a gin tonic and I know that Jessica drank a gin tonic as well.,I doubt that Dan drank a gin tonic but I know that Jessica drank a gin tonic.,I doubt that Dan drank a gin tonic and I doubt that Jessica drank a gin tonic as well.,Dan managed to mix a gin tonic but Jessica failed to mix a gin tonic.,Dan managed to mix a gin tonic and Jessica managed to mix a gin tonic as well.,Dan failed to mix a gin tonic but Jessica managed to mix a gin tonic.,Dan failed to mix a gin tonic and Jessica failed to mix a gin tonic as well.,The gin tonic was very strong.,The gin tonics were very strong.,It's not a big deal.
15_bone,David discovered a bone on his archeological expedition but Andy didn't discover a bone on his archeological expedition.,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too.,David didn't discover a bone on his archeological expedition but Andy discovered a bone on his archeological expedition.,David didn't discover a bone on his archeological expedition and Andy didn't discover a bone on his archeological expedition either.,I know that David discovered a bone on his archeological expedition but I doubt that Andy discovered a bone on his archeological expedition.,I know that David discovered a bone on his archeological expedition and I know that Andy discovered a bone on his archeological expedition as well.,I doubt that David discovered a bone on his archeological expedition but I know that Andy discovered a bone on his archeological expedition.,I doubt that David discovered a bone on his archeological expedition and I doubt that Andy discovered a bone on his archeological expedition as well.,David managed to discover a bone on his archeological expedition but Andy failed to discover a bone on his archeological expedition.,David managed to discover a bone on his archeological expedition and Andy managed to discover a bone on his archeological expedition as well.,David failed to discover a bone on his archeological expedition but Andy managed to discover a bone on his archeological expedition.,David failed to discover a bone on his archeological expedition and Andy failed to discover a bone on his archeological expedition as well.,The bone likely belonged to an extinct bird species.,The bones likely belonged to an extinct bird species.,It's not a big deal.
16_house,Lisa built a house but Jordan didn't build a house.,Lisa built a house and Jordan built a house too.,Lisa didn't build a house but Jordan built a house.,Lisa didn't build a house and Jordan didn't build a house either.,I know that Lisa built a house but I doubt that Jordan built a house.,I know that Lisa built a house and I know that Jordan built a house as well.,I doubt that Lisa built a house but I know that Jordan built a house.,I doubt that Lisa built a house and I doubt that Jordan built a house as well.,Lisa managed to build a house but Jordan failed to build a house.,Lisa managed to build a house and Jordan managed to build a house as well.,Lisa failed to build a house but Jordan managed to build a house.,Lisa failed to build a house and Jordan failed to build a house as well.,The house is the most beautiful building I have ever seen.,The houses are the most beautiful buildings I have ever seen.,It's not a big deal.
